city,group,sub_group,year,value
KOTA MEULABOH,2020,"Makanan, Minuman dan Tembakau",2020,0.6825000000000001
KOTA BANDA ACEH,2020,"Makanan, Minuman dan Tembakau",2020,0.5266666666666667
KOTA LHOKSEUMAWE,2020,"Makanan, Minuman dan Tembakau",2020,0.6591666666666667
KOTA SIBOLGA,2020,"Makanan, Minuman dan Tembakau",2020,0.3725
KOTA PEMATANG SIANTAR,2020,"Makanan, Minuman dan Tembakau",2020,0.5358333333333333
KOTA MEDAN,2020,"Makanan, Minuman dan Tembakau",2020,0.36
KOTA PADANGSIDIMPUAN,2020,"Makanan, Minuman dan Tembakau",2020,0.4683333333333334
KOTA GUNUNGSITOLI,2020,"Makanan, Minuman dan Tembakau",2020,0.8399999999999999
KOTA PADANG,2020,"Makanan, Minuman dan Tembakau",2020,0.4041666666666667
KOTA BUKITTINGGI,2020,"Makanan, Minuman dan Tembakau",2020,0.3058333333333333
TEMBILAHAN,2020,"Makanan, Minuman dan Tembakau",2020,0.3708333333333333
KOTA PEKANBARU,2020,"Makanan, Minuman dan Tembakau",2020,0.4408333333333333
KOTA DUMAI,2020,"Makanan, Minuman dan Tembakau",2020,0.525
BUNGO,2020,"Makanan, Minuman dan Tembakau",2020,0.4366666666666667
KOTA JAMBI,2020,"Makanan, Minuman dan Tembakau",2020,0.5225
KOTA PALEMBANG,2020,"Makanan, Minuman dan Tembakau",2020,0.1983333333333333
KOTA LUBUKLINGGAU,2020,"Makanan, Minuman dan Tembakau",2020,0.2283333333333333
KOTA BENGKULU,2020,"Makanan, Minuman dan Tembakau",2020,0.0058333333333333
KOTA BANDAR LAMPUNG,2020,"Makanan, Minuman dan Tembakau",2020,0.3475
KOTA METRO,2020,"Makanan, Minuman dan Tembakau",2020,0.2583333333333333
TANJUNG PANDAN,2020,"Makanan, Minuman dan Tembakau",2020,0.3733333333333333
KOTA PANGKAL PINANG,2020,"Makanan, Minuman dan Tembakau",2020,0.3608333333333333
KOTA BATAM,2020,"Makanan, Minuman dan Tembakau",2020,0.24
KOTA TANJUNG PINANG,2020,"Makanan, Minuman dan Tembakau",2020,0.3283333333333333
DKI JAKARTA,2020,"Makanan, Minuman dan Tembakau",2020,0.3583333333333333
KOTA BOGOR,2020,"Makanan, Minuman dan Tembakau",2020,0.2991666666666666
KOTA SUKABUMI,2020,"Makanan, Minuman dan Tembakau",2020,0.2491666666666666
KOTA BANDUNG,2020,"Makanan, Minuman dan Tembakau",2020,0.3533333333333333
KOTA CIREBON,2020,"Makanan, Minuman dan Tembakau",2020,0.1849999999999999
KOTA BEKASI,2020,"Makanan, Minuman dan Tembakau",2020,0.3091666666666666
KOTA DEPOK,2020,"Makanan, Minuman dan Tembakau",2020,0.3241666666666667
KOTA TASIKMALAYA,2020,"Makanan, Minuman dan Tembakau",2020,0.235
CILACAP,2020,"Makanan, Minuman dan Tembakau",2020,0.2833333333333332
PURWOKERTO,2020,"Makanan, Minuman dan Tembakau",2020,0.2758333333333333
KUDUS,2020,"Makanan, Minuman dan Tembakau",2020,0.2458333333333333
KOTA SURAKARTA,2020,"Makanan, Minuman dan Tembakau",2020,0.1283333333333333
KOTA SEMARANG,2020,"Makanan, Minuman dan Tembakau",2020,0.4158333333333333
KOTA TEGAL,2020,"Makanan, Minuman dan Tembakau",2020,0.3633333333333333
KOTA YOGYAKARTA,2020,"Makanan, Minuman dan Tembakau",2020,0.2299999999999999
JEMBER,2020,"Makanan, Minuman dan Tembakau",2020,0.2966666666666666
BANYUWANGI,2020,"Makanan, Minuman dan Tembakau",2020,0.2491666666666666
SUMENEP,2020,"Makanan, Minuman dan Tembakau",2020,0.1933333333333333
KOTA KEDIRI,2020,"Makanan, Minuman dan Tembakau",2020,0.2933333333333334
KOTA MALANG,2020,"Makanan, Minuman dan Tembakau",2020,0.3266666666666666
KOTA PROBOLINGGO,2020,"Makanan, Minuman dan Tembakau",2020,0.2383333333333333
KOTA MADIUN,2020,"Makanan, Minuman dan Tembakau",2020,0.2908333333333333
KOTA SURABAYA,2020,"Makanan, Minuman dan Tembakau",2020,0.1458333333333333
KOTA TANGERANG,2020,"Makanan, Minuman dan Tembakau",2020,0.1983333333333333
KOTA CILEGON,2020,"Makanan, Minuman dan Tembakau",2020,0.2625
KOTA SERANG,2020,"Makanan, Minuman dan Tembakau",2020,0.2216666666666666
SINGARAJA,2020,"Makanan, Minuman dan Tembakau",2020,0.4858333333333333
KOTA DENPASAR,2020,"Makanan, Minuman dan Tembakau",2020,0.1358333333333333
KOTA MATARAM,2020,"Makanan, Minuman dan Tembakau",2020,0.2183333333333333
KOTA BIMA,2020,"Makanan, Minuman dan Tembakau",2020,0.1233333333333333
WAINGAPU,2020,"Makanan, Minuman dan Tembakau",2020,0.2516666666666667
MAUMERE,2020,"Makanan, Minuman dan Tembakau",2020,0.3008333333333333
KOTA KUPANG,2020,"Makanan, Minuman dan Tembakau",2020,0.2425
SINTANG,2020,"Makanan, Minuman dan Tembakau",2020,0.8833333333333334
KOTA PONTIANAK,2020,"Makanan, Minuman dan Tembakau",2020,0.425
KOTA SINGKAWANG,2020,"Makanan, Minuman dan Tembakau",2020,0.5458333333333334
SAMPIT,2020,"Makanan, Minuman dan Tembakau",2020,0.2383333333333333
KOTA PALANGKA RAYA,2020,"Makanan, Minuman dan Tembakau",2020,0.0708333333333333
KOTA BARU,2020,"Makanan, Minuman dan Tembakau",2020,0.1041666666666666
TANJUNG,2020,"Makanan, Minuman dan Tembakau",2020,0.2866666666666667
KOTA BANJARMASIN,2020,"Makanan, Minuman dan Tembakau",2020,0.12
KOTA BALIKPAPAN,2020,"Makanan, Minuman dan Tembakau",2020,0.3158333333333333
KOTA SAMARINDA,2020,"Makanan, Minuman dan Tembakau",2020,0.1741666666666666
TANJUNG SELOR,2020,"Makanan, Minuman dan Tembakau",2020,0.2641666666666665
KOTA TARAKAN,2020,"Makanan, Minuman dan Tembakau",2020,0.0875
KOTA MANADO,2020,"Makanan, Minuman dan Tembakau",2020,-0.0291666666666666
KOTA KOTAMOBAGU,2020,"Makanan, Minuman dan Tembakau",2020,0.5083333333333334
LUWUK,2020,"Makanan, Minuman dan Tembakau",2020,0.1566666666666666
KOTA PALU,2020,"Makanan, Minuman dan Tembakau",2020,0.3958333333333333
BULUKUMBA,2020,"Makanan, Minuman dan Tembakau",2020,0.1308333333333333
WATAMPONE,2020,"Makanan, Minuman dan Tembakau",2020,0.2108333333333333
KOTA MAKASSAR,2020,"Makanan, Minuman dan Tembakau",2020,0.3075
KOTA PARE-PARE,2020,"Makanan, Minuman dan Tembakau",2020,0.2458333333333333
KOTA PALOPO,2020,"Makanan, Minuman dan Tembakau",2020,0.2416666666666666
KOTA KENDARI,2020,"Makanan, Minuman dan Tembakau",2020,0.2366666666666667
KOTA BUA-BAU,2020,"Makanan, Minuman dan Tembakau",2020,0.3241666666666666
KOTA GORONTALO,2020,"Makanan, Minuman dan Tembakau",2020,0.0616666666666666
MAMUJU,2020,"Makanan, Minuman dan Tembakau",2020,0.3383333333333334
KOTA AMBON,2020,"Makanan, Minuman dan Tembakau",2020,0.155
KOTA TUAL,2020,"Makanan, Minuman dan Tembakau",2020,0.2891666666666666
KOTA TERNATE,2020,"Makanan, Minuman dan Tembakau",2020,0.6116666666666667
MANOKWARI,2020,"Makanan, Minuman dan Tembakau",2020,-0.0991666666666666
KOTA SORONG,2020,"Makanan, Minuman dan Tembakau",2020,0.4391666666666667
MERAUKE,2020,"Makanan, Minuman dan Tembakau",2020,0.2616666666666665
TIMIKA,2020,"Makanan, Minuman dan Tembakau",2020,0.798333333333333
KOTA JAYAPURA,2020,"Makanan, Minuman dan Tembakau",2020,0.0908333333333332
INDONESIA,2020,"Makanan, Minuman dan Tembakau",2020,0.2991666666666666
KOTA MEULABOH,2020,Makanan,2020,0.7558333333333334
KOTA BANDA ACEH,2020,Makanan,2020,0.5925
KOTA LHOKSEUMAWE,2020,Makanan,2020,0.7416666666666667
KOTA SIBOLGA,2020,Makanan,2020,0.4666666666666666
KOTA PEMATANG SIANTAR,2020,Makanan,2020,0.5591666666666667
KOTA MEDAN,2020,Makanan,2020,0.385
KOTA PADANGSIDIMPUAN,2020,Makanan,2020,0.4941666666666666
KOTA GUNUNGSITOLI,2020,Makanan,2020,0.93
KOTA PADANG,2020,Makanan,2020,0.3849999999999999
KOTA BUKITTINGGI,2020,Makanan,2020,0.2516666666666666
TEMBILAHAN,2020,Makanan,2020,0.3516666666666666
KOTA PEKANBARU,2020,Makanan,2020,0.4524999999999999
KOTA DUMAI,2020,Makanan,2020,0.5858333333333333
BUNGO,2020,Makanan,2020,0.4616666666666666
KOTA JAMBI,2020,Makanan,2020,0.535
KOTA PALEMBANG,2020,Makanan,2020,0.1508333333333333
KOTA LUBUKLINGGAU,2020,Makanan,2020,0.2158333333333334
KOTA BENGKULU,2020,Makanan,2020,-0.0699999999999999
KOTA BANDAR LAMPUNG,2020,Makanan,2020,0.3441666666666665
KOTA METRO,2020,Makanan,2020,0.2283333333333333
TANJUNG PANDAN,2020,Makanan,2020,0.3308333333333333
KOTA PANGKAL PINANG,2020,Makanan,2020,0.3633333333333333
KOTA BATAM,2020,Makanan,2020,0.1866666666666666
KOTA TANJUNG PINANG,2020,Makanan,2020,0.3416666666666666
DKI JAKARTA,2020,Makanan,2020,0.33
KOTA BOGOR,2020,Makanan,2020,0.29
KOTA SUKABUMI,2020,Makanan,2020,0.1099999999999999
KOTA BANDUNG,2020,Makanan,2020,0.3183333333333334
KOTA CIREBON,2020,Makanan,2020,0.2058333333333333
KOTA BEKASI,2020,Makanan,2020,0.3033333333333333
KOTA DEPOK,2020,Makanan,2020,0.3058333333333333
KOTA TASIKMALAYA,2020,Makanan,2020,0.1808333333333333
CILACAP,2020,Makanan,2020,0.2416666666666666
PURWOKERTO,2020,Makanan,2020,0.2308333333333333
KUDUS,2020,Makanan,2020,0.1758333333333333
KOTA SURAKARTA,2020,Makanan,2020,0.0791666666666666
KOTA SEMARANG,2020,Makanan,2020,0.4266666666666667
KOTA TEGAL,2020,Makanan,2020,0.3808333333333333
KOTA YOGYAKARTA,2020,Makanan,2020,0.1666666666666666
JEMBER,2020,Makanan,2020,0.1775
BANYUWANGI,2020,Makanan,2020,0.2216666666666666
SUMENEP,2020,Makanan,2020,0.1849999999999999
KOTA KEDIRI,2020,Makanan,2020,0.2791666666666667
KOTA MALANG,2020,Makanan,2020,0.2991666666666666
KOTA PROBOLINGGO,2020,Makanan,2020,0.2641666666666666
KOTA MADIUN,2020,Makanan,2020,0.2333333333333334
KOTA SURABAYA,2020,Makanan,2020,0.1283333333333333
KOTA TANGERANG,2020,Makanan,2020,0.1783333333333333
KOTA CILEGON,2020,Makanan,2020,0.1858333333333333
KOTA SERANG,2020,Makanan,2020,0.15
SINGARAJA,2020,Makanan,2020,0.5033333333333333
KOTA DENPASAR,2020,Makanan,2020,0.1324999999999999
KOTA MATARAM,2020,Makanan,2020,0.2125
KOTA BIMA,2020,Makanan,2020,0.0641666666666666
WAINGAPU,2020,Makanan,2020,0.24
MAUMERE,2020,Makanan,2020,0.3033333333333333
KOTA KUPANG,2020,Makanan,2020,0.1816666666666666
SINTANG,2020,Makanan,2020,0.9508333333333332
KOTA PONTIANAK,2020,Makanan,2020,0.4474999999999999
KOTA SINGKAWANG,2020,Makanan,2020,0.5866666666666668
SAMPIT,2020,Makanan,2020,0.1566666666666667
KOTA PALANGKA RAYA,2020,Makanan,2020,0.02
KOTA BARU,2020,Makanan,2020,0.0475
TANJUNG,2020,Makanan,2020,0.2183333333333333
KOTA BANJARMASIN,2020,Makanan,2020,0.07
KOTA BALIKPAPAN,2020,Makanan,2020,0.3508333333333334
KOTA SAMARINDA,2020,Makanan,2020,0.1366666666666667
TANJUNG SELOR,2020,Makanan,2020,0.2125
KOTA TARAKAN,2020,Makanan,2020,0.0049999999999999
KOTA MANADO,2020,Makanan,2020,-0.0899999999999999
KOTA KOTAMOBAGU,2020,Makanan,2020,0.5425
LUWUK,2020,Makanan,2020,0.0391666666666666
KOTA PALU,2020,Makanan,2020,0.3691666666666666
BULUKUMBA,2020,Makanan,2020,0.1158333333333333
WATAMPONE,2020,Makanan,2020,0.1516666666666666
KOTA MAKASSAR,2020,Makanan,2020,0.25
KOTA PARE-PARE,2020,Makanan,2020,0.1975
KOTA PALOPO,2020,Makanan,2020,0.2391666666666666
KOTA KENDARI,2020,Makanan,2020,0.1733333333333333
KOTA BUA-BAU,2020,Makanan,2020,0.2224999999999999
KOTA GORONTALO,2020,Makanan,2020,-0.0108333333333333
MAMUJU,2020,Makanan,2020,0.2916666666666667
KOTA AMBON,2020,Makanan,2020,0.1391666666666666
KOTA TUAL,2020,Makanan,2020,0.2591666666666667
KOTA TERNATE,2020,Makanan,2020,0.6
MANOKWARI,2020,Makanan,2020,-0.2099999999999999
KOTA SORONG,2020,Makanan,2020,0.4491666666666667
MERAUKE,2020,Makanan,2020,0.2216666666666666
TIMIKA,2020,Makanan,2020,0.8816666666666667
KOTA JAYAPURA,2020,Makanan,2020,0.0858333333333333
INDONESIA,2020,Makanan,2020,0.2799999999999999
KOTA MEULABOH,2020,Minuman yang Tidak Beralkohol,2020,0.0091666666666666
KOTA BANDA ACEH,2020,Minuman yang Tidak Beralkohol,2020,0.0216666666666666
KOTA LHOKSEUMAWE,2020,Minuman yang Tidak Beralkohol,2020,0.0208333333333333
KOTA SIBOLGA,2020,Minuman yang Tidak Beralkohol,2020,0.015
KOTA PEMATANG SIANTAR,2020,Minuman yang Tidak Beralkohol,2020,0.1775
KOTA MEDAN,2020,Minuman yang Tidak Beralkohol,2020,-0.0399999999999999
KOTA PADANGSIDIMPUAN,2020,Minuman yang Tidak Beralkohol,2020,-0.0891666666666666
KOTA GUNUNGSITOLI,2020,Minuman yang Tidak Beralkohol,2020,0.045
KOTA PADANG,2020,Minuman yang Tidak Beralkohol,2020,0.2124999999999999
KOTA BUKITTINGGI,2020,Minuman yang Tidak Beralkohol,2020,0.0825
TEMBILAHAN,2020,Minuman yang Tidak Beralkohol,2020,0.1325
KOTA PEKANBARU,2020,Minuman yang Tidak Beralkohol,2020,0.1674999999999999
KOTA DUMAI,2020,Minuman yang Tidak Beralkohol,2020,0.0325
BUNGO,2020,Minuman yang Tidak Beralkohol,2020,0.2158333333333333
KOTA JAMBI,2020,Minuman yang Tidak Beralkohol,2020,-0.2091666666666667
KOTA PALEMBANG,2020,Minuman yang Tidak Beralkohol,2020,0.3891666666666666
KOTA LUBUKLINGGAU,2020,Minuman yang Tidak Beralkohol,2020,0.2883333333333333
KOTA BENGKULU,2020,Minuman yang Tidak Beralkohol,2020,-0.1108333333333333
KOTA BANDAR LAMPUNG,2020,Minuman yang Tidak Beralkohol,2020,0.1141666666666666
KOTA METRO,2020,Minuman yang Tidak Beralkohol,2020,0.05
TANJUNG PANDAN,2020,Minuman yang Tidak Beralkohol,2020,0.0074999999999999
KOTA PANGKAL PINANG,2020,Minuman yang Tidak Beralkohol,2020,0.2975000000000001
KOTA BATAM,2020,Minuman yang Tidak Beralkohol,2020,0.0674999999999999
KOTA TANJUNG PINANG,2020,Minuman yang Tidak Beralkohol,2020,-0.0116666666666666
DKI JAKARTA,2020,Minuman yang Tidak Beralkohol,2020,-0.0641666666666666
KOTA BOGOR,2020,Minuman yang Tidak Beralkohol,2020,0.4075
KOTA SUKABUMI,2020,Minuman yang Tidak Beralkohol,2020,0.2925
KOTA BANDUNG,2020,Minuman yang Tidak Beralkohol,2020,0.3483333333333333
KOTA CIREBON,2020,Minuman yang Tidak Beralkohol,2020,0.0941666666666666
KOTA BEKASI,2020,Minuman yang Tidak Beralkohol,2020,0.12
KOTA DEPOK,2020,Minuman yang Tidak Beralkohol,2020,0.1908333333333333
KOTA TASIKMALAYA,2020,Minuman yang Tidak Beralkohol,2020,0.1108333333333333
CILACAP,2020,Minuman yang Tidak Beralkohol,2020,0.4191666666666666
PURWOKERTO,2020,Minuman yang Tidak Beralkohol,2020,0.1666666666666666
KUDUS,2020,Minuman yang Tidak Beralkohol,2020,0.2525
KOTA SURAKARTA,2020,Minuman yang Tidak Beralkohol,2020,0.1749999999999999
KOTA SEMARANG,2020,Minuman yang Tidak Beralkohol,2020,0.3958333333333332
KOTA TEGAL,2020,Minuman yang Tidak Beralkohol,2020,0.1258333333333333
KOTA YOGYAKARTA,2020,Minuman yang Tidak Beralkohol,2020,0.1374999999999999
JEMBER,2020,Minuman yang Tidak Beralkohol,2020,0.2525
BANYUWANGI,2020,Minuman yang Tidak Beralkohol,2020,0.0108333333333333
SUMENEP,2020,Minuman yang Tidak Beralkohol,2020,0.1883333333333333
KOTA KEDIRI,2020,Minuman yang Tidak Beralkohol,2020,0.3041666666666667
KOTA MALANG,2020,Minuman yang Tidak Beralkohol,2020,0.0333333333333333
KOTA PROBOLINGGO,2020,Minuman yang Tidak Beralkohol,2020,0.0716666666666666
KOTA MADIUN,2020,Minuman yang Tidak Beralkohol,2020,0.3366666666666666
KOTA SURABAYA,2020,Minuman yang Tidak Beralkohol,2020,0.1058333333333333
KOTA TANGERANG,2020,Minuman yang Tidak Beralkohol,2020,0.2675
KOTA CILEGON,2020,Minuman yang Tidak Beralkohol,2020,0.0308333333333333
KOTA SERANG,2020,Minuman yang Tidak Beralkohol,2020,0.4091666666666667
SINGARAJA,2020,Minuman yang Tidak Beralkohol,2020,0.145
KOTA DENPASAR,2020,Minuman yang Tidak Beralkohol,2020,0.0808333333333333
KOTA MATARAM,2020,Minuman yang Tidak Beralkohol,2020,-0.0233333333333333
KOTA BIMA,2020,Minuman yang Tidak Beralkohol,2020,0.06
WAINGAPU,2020,Minuman yang Tidak Beralkohol,2020,0.5141666666666667
MAUMERE,2020,Minuman yang Tidak Beralkohol,2020,0.0033333333333333
KOTA KUPANG,2020,Minuman yang Tidak Beralkohol,2020,0.0041666666666666
SINTANG,2020,Minuman yang Tidak Beralkohol,2020,0.2575
KOTA PONTIANAK,2020,Minuman yang Tidak Beralkohol,2020,0.2775
KOTA SINGKAWANG,2020,Minuman yang Tidak Beralkohol,2020,0.11
SAMPIT,2020,Minuman yang Tidak Beralkohol,2020,0.3066666666666667
KOTA PALANGKA RAYA,2020,Minuman yang Tidak Beralkohol,2020,0.1541666666666667
KOTA BARU,2020,Minuman yang Tidak Beralkohol,2020,0.0216666666666666
TANJUNG,2020,Minuman yang Tidak Beralkohol,2020,0.4574999999999999
KOTA BANJARMASIN,2020,Minuman yang Tidak Beralkohol,2020,0.3108333333333333
KOTA BALIKPAPAN,2020,Minuman yang Tidak Beralkohol,2020,0.0241666666666666
KOTA SAMARINDA,2020,Minuman yang Tidak Beralkohol,2020,0.0741666666666666
TANJUNG SELOR,2020,Minuman yang Tidak Beralkohol,2020,-0.165
KOTA TARAKAN,2020,Minuman yang Tidak Beralkohol,2020,0.5116666666666667
KOTA MANADO,2020,Minuman yang Tidak Beralkohol,2020,0.1533333333333333
KOTA KOTAMOBAGU,2020,Minuman yang Tidak Beralkohol,2020,-0.1625
LUWUK,2020,Minuman yang Tidak Beralkohol,2020,0.36
KOTA PALU,2020,Minuman yang Tidak Beralkohol,2020,0.3324999999999999
BULUKUMBA,2020,Minuman yang Tidak Beralkohol,2020,0.2466666666666667
WATAMPONE,2020,Minuman yang Tidak Beralkohol,2020,0.3625
KOTA MAKASSAR,2020,Minuman yang Tidak Beralkohol,2020,0.5333333333333334
KOTA PARE-PARE,2020,Minuman yang Tidak Beralkohol,2020,0.1166666666666666
KOTA PALOPO,2020,Minuman yang Tidak Beralkohol,2020,0.0116666666666666
KOTA KENDARI,2020,Minuman yang Tidak Beralkohol,2020,0.1241666666666666
KOTA BUA-BAU,2020,Minuman yang Tidak Beralkohol,2020,0.485
KOTA GORONTALO,2020,Minuman yang Tidak Beralkohol,2020,0.1766666666666666
MAMUJU,2020,Minuman yang Tidak Beralkohol,2020,0.0991666666666666
KOTA AMBON,2020,Minuman yang Tidak Beralkohol,2020,-0.2508333333333333
KOTA TUAL,2020,Minuman yang Tidak Beralkohol,2020,0.1975
KOTA TERNATE,2020,Minuman yang Tidak Beralkohol,2020,0.62
MANOKWARI,2020,Minuman yang Tidak Beralkohol,2020,0.2683333333333333
KOTA SORONG,2020,Minuman yang Tidak Beralkohol,2020,0.2316666666666667
MERAUKE,2020,Minuman yang Tidak Beralkohol,2020,0.4125000000000001
TIMIKA,2020,Minuman yang Tidak Beralkohol,2020,-0.1133333333333333
KOTA JAYAPURA,2020,Minuman yang Tidak Beralkohol,2020,0.0183333333333333
INDONESIA,2020,Minuman yang Tidak Beralkohol,2020,0.1141666666666666
KOTA SIBOLGA,2020,Minuman Beralkohol,2020,1.19
KOTA PEMATANG SIANTAR,2020,Minuman Beralkohol,2020,0.0716666666666666
KOTA GUNUNGSITOLI,2020,Minuman Beralkohol,2020,0.0
KOTA BATAM,2020,Minuman Beralkohol,2020,-0.3358333333333334
KOTA TANJUNG PINANG,2020,Minuman Beralkohol,2020,-0.1166666666666667
SINGARAJA,2020,Minuman Beralkohol,2020,0.0949999999999999
KOTA DENPASAR,2020,Minuman Beralkohol,2020,0.325
WAINGAPU,2020,Minuman Beralkohol,2020,-0.0958333333333333
MAUMERE,2020,Minuman Beralkohol,2020,-0.0083333333333333
KOTA KUPANG,2020,Minuman Beralkohol,2020,-0.0616666666666666
KOTA MANADO,2020,Minuman Beralkohol,2020,0.5241666666666667
KOTA KOTAMOBAGU,2020,Minuman Beralkohol,2020,0.0933333333333333
KOTA AMBON,2020,Minuman Beralkohol,2020,-0.2033333333333332
KOTA TUAL,2020,Minuman Beralkohol,2020,0.0
KOTA SORONG,2020,Minuman Beralkohol,2020,0.0
MERAUKE,2020,Minuman Beralkohol,2020,0.0
TIMIKA,2020,Minuman Beralkohol,2020,0.2291666666666666
KOTA JAYAPURA,2020,Minuman Beralkohol,2020,0.0358333333333333
INDONESIA,2020,Minuman Beralkohol,2020,0.0008333333333333
KOTA MEULABOH,2020,Rokok dan Tembakau,2020,0.6166666666666666
KOTA BANDA ACEH,2020,Rokok dan Tembakau,2020,0.4775
KOTA LHOKSEUMAWE,2020,Rokok dan Tembakau,2020,0.6074999999999999
KOTA SIBOLGA,2020,Rokok dan Tembakau,2020,0.0683333333333333
KOTA PEMATANG SIANTAR,2020,Rokok dan Tembakau,2020,0.5608333333333333
KOTA MEDAN,2020,Rokok dan Tembakau,2020,0.4258333333333333
KOTA PADANGSIDIMPUAN,2020,Rokok dan Tembakau,2020,0.5191666666666667
KOTA GUNUNGSITOLI,2020,Rokok dan Tembakau,2020,0.7533333333333334
