province,year,area,gini
ACEH,2020,urban,0.355
ACEH,2020,rural,0.283
ACEH,2020,total,0.319
SUMATERA UTARA,2020,urban,0.336
SUMATERA UTARA,2020,rural,0.258
SUMATERA UTARA,2020,total,0.314
SUMATERA BARAT,2020,urban,0.32
SUMATERA BARAT,2020,rural,0.256
SUMATERA BARAT,2020,total,0.301
RIAU,2020,urban,0.359
RIAU,2020,rural,0.274
RIAU,2020,total,0.321
JAMBI,2020,urban,0.346
JAMBI,2020,rural,0.289
JAMBI,2020,total,0.316
SUMATERA SELATAN,2020,urban,0.352
SUMATERA SELATAN,2020,rural,0.31
SUMATERA SELATAN,2020,total,0.338
BENGKULU,2020,urban,0.381
BENGKULU,2020,rural,0.274
BENGKULU,2020,total,0.323
LAMPUNG,2020,urban,0.342
LAMPUNG,2020,rural,0.295
LAMPUNG,2020,total,0.32
KEP. BANGKA BELITUNG,2020,urban,0.271
KEP. BANGKA BELITUNG,2020,rural,0.229
KEP. BANGKA BELITUNG,2020,total,0.257
KEP. RIAU,2020,urban,0.335
KEP. RIAU,2020,rural,0.26
KEP. RIAU,2020,total,0.334
DKI JAKARTA,2020,urban,0.4
DKI JAKARTA,2020,rural,
DKI JAKARTA,2020,total,0.4
JAWA BARAT,2020,urban,0.409
JAWA BARAT,2020,rural,0.326
JAWA BARAT,2020,total,0.398
JAWA TENGAH,2020,urban,0.386
JAWA TENGAH,2020,rural,0.318
JAWA TENGAH,2020,total,0.359
DI YOGYAKARTA,2020,urban,0.439
DI YOGYAKARTA,2020,rural,0.329
DI YOGYAKARTA,2020,total,0.437
JAWA TIMUR,2020,urban,0.373
JAWA TIMUR,2020,rural,0.318
JAWA TIMUR,2020,total,0.364
BANTEN,2020,urban,0.361
BANTEN,2020,rural,0.296
BANTEN,2020,total,0.365
BALI,2020,urban,0.378
BALI,2020,rural,0.304
BALI,2020,total,0.369
NUSA TENGGARA BARAT,2020,urban,0.405
NUSA TENGGARA BARAT,2020,rural,0.336
NUSA TENGGARA BARAT,2020,total,0.386
NUSA TENGGARA TIMUR,2020,urban,0.329
NUSA TENGGARA TIMUR,2020,rural,0.311
NUSA TENGGARA TIMUR,2020,total,0.356
KALIMANTAN BARAT,2020,urban,0.329
KALIMANTAN BARAT,2020,rural,0.273
KALIMANTAN BARAT,2020,total,0.325
KALIMANTAN TENGAH,2020,urban,0.357
KALIMANTAN TENGAH,2020,rural,0.29
KALIMANTAN TENGAH,2020,total,0.32
KALIMANTAN SELATAN,2020,urban,0.343
KALIMANTAN SELATAN,2020,rural,0.277
KALIMANTAN SELATAN,2020,total,0.351
KALIMANTAN TIMUR,2020,urban,0.33
KALIMANTAN TIMUR,2020,rural,0.286
KALIMANTAN TIMUR,2020,total,0.335
KALIMANTAN UTARA,2020,urban,0.285
KALIMANTAN UTARA,2020,rural,0.278
KALIMANTAN UTARA,2020,total,0.3
SULAWESI UTARA,2020,urban,0.367
SULAWESI UTARA,2020,rural,0.346
SULAWESI UTARA,2020,total,0.368
SULAWESI TENGAH,2020,urban,0.334
SULAWESI TENGAH,2020,rural,0.295
SULAWESI TENGAH,2020,total,0.321
SULAWESI SELATAN,2020,urban,0.384
SULAWESI SELATAN,2020,rural,0.352
SULAWESI SELATAN,2020,total,0.382
SULAWESI TENGGARA,2020,urban,0.403
SULAWESI TENGGARA,2020,rural,0.348
SULAWESI TENGGARA,2020,total,0.388
GORONTALO,2020,urban,0.39
GORONTALO,2020,rural,0.391
GORONTALO,2020,total,0.406
SULAWESI BARAT,2020,urban,0.437
SULAWESI BARAT,2020,rural,0.321
SULAWESI BARAT,2020,total,0.356
MALUKU,2020,urban,0.292
MALUKU,2020,rural,0.285
MALUKU,2020,total,0.326
MALUKU UTARA,2020,urban,0.294
MALUKU UTARA,2020,rural,0.271
MALUKU UTARA,2020,total,0.29
PAPUA BARAT,2020,urban,0.316
PAPUA BARAT,2020,rural,0.412
PAPUA BARAT,2020,total,0.376
PAPUA BARAT DAYA,2020,urban,
PAPUA BARAT DAYA,2020,rural,
PAPUA BARAT DAYA,2020,total,
PAPUA,2020,urban,0.291
PAPUA,2020,rural,0.416
PAPUA,2020,total,0.395
PAPUA SELATAN,2020,urban,
PAPUA SELATAN,2020,rural,
PAPUA SELATAN,2020,total,
PAPUA TENGAH,2020,urban,
PAPUA TENGAH,2020,rural,
PAPUA TENGAH,2020,total,
PAPUA PEGUNUNGAN,2020,urban,
PAPUA PEGUNUNGAN,2020,rural,
PAPUA PEGUNUNGAN,2020,total,
INDONESIA,2020,urban,0.399
INDONESIA,2020,rural,0.319
INDONESIA,2020,total,0.385
ACEH,2021,urban,0.357
ACEH,2021,rural,0.282
ACEH,2021,total,0.323
SUMATERA UTARA,2021,urban,0.339
SUMATERA UTARA,2021,rural,0.257
SUMATERA UTARA,2021,total,0.313
SUMATERA BARAT,2021,urban,0.327
SUMATERA BARAT,2021,rural,0.252
SUMATERA BARAT,2021,total,0.3
RIAU,2021,urban,0.369
RIAU,2021,rural,0.276
RIAU,2021,total,0.327
JAMBI,2021,urban,0.347
JAMBI,2021,rural,0.284
JAMBI,2021,total,0.315
SUMATERA SELATAN,2021,urban,0.363
SUMATERA SELATAN,2021,rural,0.314
SUMATERA SELATAN,2021,total,0.34
BENGKULU,2021,urban,0.381
BENGKULU,2021,rural,0.258
BENGKULU,2021,total,0.321
LAMPUNG,2021,urban,0.342
LAMPUNG,2021,rural,0.288
LAMPUNG,2021,total,0.314
KEP. BANGKA BELITUNG,2021,urban,0.259
KEP. BANGKA BELITUNG,2021,rural,0.215
KEP. BANGKA BELITUNG,2021,total,0.247
KEP. RIAU,2021,urban,0.337
KEP. RIAU,2021,rural,0.253
KEP. RIAU,2021,total,0.339
DKI JAKARTA,2021,urban,0.411
DKI JAKARTA,2021,rural,
DKI JAKARTA,2021,total,0.411
JAWA BARAT,2021,urban,0.417
JAWA BARAT,2021,rural,0.324
JAWA BARAT,2021,total,0.406
JAWA TENGAH,2021,urban,0.393
JAWA TENGAH,2021,rural,0.324
JAWA TENGAH,2021,total,0.368
DI YOGYAKARTA,2021,urban,0.443
DI YOGYAKARTA,2021,rural,0.325
DI YOGYAKARTA,2021,total,0.436
JAWA TIMUR,2021,urban,0.379
JAWA TIMUR,2021,rural,0.319
JAWA TIMUR,2021,total,0.364
BANTEN,2021,urban,0.365
BANTEN,2021,rural,0.278
BANTEN,2021,total,0.363
BALI,2021,urban,0.379
BALI,2021,rural,0.302
BALI,2021,total,0.375
NUSA TENGGARA BARAT,2021,urban,0.42
NUSA TENGGARA BARAT,2021,rural,0.331
NUSA TENGGARA BARAT,2021,total,0.384
NUSA TENGGARA TIMUR,2021,urban,0.322
NUSA TENGGARA TIMUR,2021,rural,0.306
NUSA TENGGARA TIMUR,2021,total,0.339
KALIMANTAN BARAT,2021,urban,0.337
KALIMANTAN BARAT,2021,rural,0.268
KALIMANTAN BARAT,2021,total,0.315
KALIMANTAN TENGAH,2021,urban,0.356
KALIMANTAN TENGAH,2021,rural,0.284
KALIMANTAN TENGAH,2021,total,0.32
KALIMANTAN SELATAN,2021,urban,0.352
KALIMANTAN SELATAN,2021,rural,0.257
KALIMANTAN SELATAN,2021,total,0.325
KALIMANTAN TIMUR,2021,urban,0.337
KALIMANTAN TIMUR,2021,rural,0.281
KALIMANTAN TIMUR,2021,total,0.331
KALIMANTAN UTARA,2021,urban,0.284
KALIMANTAN UTARA,2021,rural,0.264
KALIMANTAN UTARA,2021,total,0.285
SULAWESI UTARA,2021,urban,0.359
SULAWESI UTARA,2021,rural,0.347
SULAWESI UTARA,2021,total,0.359
SULAWESI TENGAH,2021,urban,0.351
SULAWESI TENGAH,2021,rural,0.278
SULAWESI TENGAH,2021,total,0.326
SULAWESI SELATAN,2021,urban,0.387
SULAWESI SELATAN,2021,rural,0.334
SULAWESI SELATAN,2021,total,0.377
SULAWESI TENGGARA,2021,urban,0.402
SULAWESI TENGGARA,2021,rural,0.353
SULAWESI TENGGARA,2021,total,0.394
GORONTALO,2021,urban,0.407
GORONTALO,2021,rural,0.39
GORONTALO,2021,total,0.409
SULAWESI BARAT,2021,urban,0.451
SULAWESI BARAT,2021,rural,0.326
SULAWESI BARAT,2021,total,0.366
MALUKU,2021,urban,0.302
MALUKU,2021,rural,0.25
MALUKU,2021,total,0.316
MALUKU UTARA,2021,urban,0.295
MALUKU UTARA,2021,rural,0.256
MALUKU UTARA,2021,total,0.278
PAPUA BARAT,2021,urban,0.313
PAPUA BARAT,2021,rural,0.399
PAPUA BARAT,2021,total,0.374
PAPUA BARAT DAYA,2021,urban,
PAPUA BARAT DAYA,2021,rural,
PAPUA BARAT DAYA,2021,total,
PAPUA,2021,urban,0.307
PAPUA,2021,rural,0.419
PAPUA,2021,total,0.396
PAPUA SELATAN,2021,urban,
PAPUA SELATAN,2021,rural,
PAPUA SELATAN,2021,total,
PAPUA TENGAH,2021,urban,
PAPUA TENGAH,2021,rural,
PAPUA TENGAH,2021,total,
PAPUA PEGUNUNGAN,2021,urban,
PAPUA PEGUNUNGAN,2021,rural,
PAPUA PEGUNUNGAN,2021,total,
INDONESIA,2021,urban,0.398
INDONESIA,2021,rural,0.314
INDONESIA,2021,total,0.381
ACEH,2022,urban,0.327
ACEH,2022,rural,0.252
ACEH,2022,total,0.291
SUMATERA UTARA,2022,urban,0.358
SUMATERA UTARA,2022,rural,0.259
SUMATERA UTARA,2022,total,0.326
SUMATERA BARAT,2022,urban,0.316
SUMATERA BARAT,2022,rural,0.243
SUMATERA BARAT,2022,total,0.292
RIAU,2022,urban,0.35
RIAU,2022,rural,0.293
RIAU,2022,total,0.323
JAMBI,2022,urban,0.376
JAMBI,2022,rural,0.302
JAMBI,2022,total,0.335
SUMATERA SELATAN,2022,urban,0.348
SUMATERA SELATAN,2022,rural,0.311
SUMATERA SELATAN,2022,total,0.33
BENGKULU,2022,urban,0.371
BENGKULU,2022,rural,0.264
BENGKULU,2022,total,0.315
LAMPUNG,2022,urban,0.352
LAMPUNG,2022,rural,0.275
LAMPUNG,2022,total,0.313
KEP. BANGKA BELITUNG,2022,urban,0.263
KEP. BANGKA BELITUNG,2022,rural,0.222
KEP. BANGKA BELITUNG,2022,total,0.255
KEP. RIAU,2022,urban,0.328
KEP. RIAU,2022,rural,0.264
KEP. RIAU,2022,total,0.325
DKI JAKARTA,2022,urban,0.412
DKI JAKARTA,2022,rural,
DKI JAKARTA,2022,total,0.412
JAWA BARAT,2022,urban,0.427
JAWA BARAT,2022,rural,0.306
JAWA BARAT,2022,total,0.412
JAWA TENGAH,2022,urban,0.392
JAWA TENGAH,2022,rural,0.326
JAWA TENGAH,2022,total,0.366
DI YOGYAKARTA,2022,urban,0.468
DI YOGYAKARTA,2022,rural,0.342
DI YOGYAKARTA,2022,total,0.459
JAWA TIMUR,2022,urban,0.381
JAWA TIMUR,2022,rural,0.322
JAWA TIMUR,2022,total,0.365
BANTEN,2022,urban,0.384
BANTEN,2022,rural,0.266
BANTEN,2022,total,0.377
BALI,2022,urban,0.371
BALI,2022,rural,0.282
BALI,2022,total,0.362
NUSA TENGGARA BARAT,2022,urban,0.392
NUSA TENGGARA BARAT,2022,rural,0.341
NUSA TENGGARA BARAT,2022,total,0.374
NUSA TENGGARA TIMUR,2022,urban,0.308
NUSA TENGGARA TIMUR,2022,rural,0.326
NUSA TENGGARA TIMUR,2022,total,0.34
KALIMANTAN BARAT,2022,urban,0.334
KALIMANTAN BARAT,2022,rural,0.264
KALIMANTAN BARAT,2022,total,0.311
KALIMANTAN TENGAH,2022,urban,0.332
KALIMANTAN TENGAH,2022,rural,0.285
KALIMANTAN TENGAH,2022,total,0.309
KALIMANTAN SELATAN,2022,urban,0.329
KALIMANTAN SELATAN,2022,rural,0.273
KALIMANTAN SELATAN,2022,total,0.309
KALIMANTAN TIMUR,2022,urban,0.32
KALIMANTAN TIMUR,2022,rural,0.301
KALIMANTAN TIMUR,2022,total,0.317
KALIMANTAN UTARA,2022,urban,0.256
KALIMANTAN UTARA,2022,rural,0.287
KALIMANTAN UTARA,2022,total,0.27
SULAWESI UTARA,2022,urban,0.355
SULAWESI UTARA,2022,rural,0.352
SULAWESI UTARA,2022,total,0.359
SULAWESI TENGAH,2022,urban,0.337
SULAWESI TENGAH,2022,rural,0.28
SULAWESI TENGAH,2022,total,0.305
SULAWESI SELATAN,2022,urban,0.378
SULAWESI SELATAN,2022,rural,0.324
SULAWESI SELATAN,2022,total,0.365
SULAWESI TENGGARA,2022,urban,0.382
SULAWESI TENGGARA,2022,rural,0.341
SULAWESI TENGGARA,2022,total,0.366
GORONTALO,2022,urban,0.406
GORONTALO,2022,rural,0.395
GORONTALO,2022,total,0.423
SULAWESI BARAT,2022,urban,0.472
SULAWESI BARAT,2022,rural,0.315
SULAWESI BARAT,2022,total,0.371
MALUKU,2022,urban,0.309
MALUKU,2022,rural,0.261
MALUKU,2022,total,0.306
MALUKU UTARA,2022,urban,0.33
MALUKU UTARA,2022,rural,0.269
MALUKU UTARA,2022,total,0.309
PAPUA BARAT,2022,urban,0.302
PAPUA BARAT,2022,rural,0.436
PAPUA BARAT,2022,total,0.384
PAPUA BARAT DAYA,2022,urban,
PAPUA BARAT DAYA,2022,rural,
PAPUA BARAT DAYA,2022,total,
PAPUA,2022,urban,0.294
PAPUA,2022,rural,0.419
PAPUA,2022,total,0.393
PAPUA SELATAN,2022,urban,
PAPUA SELATAN,2022,rural,
PAPUA SELATAN,2022,total,
PAPUA TENGAH,2022,urban,
PAPUA TENGAH,2022,rural,
PAPUA TENGAH,2022,total,
PAPUA PEGUNUNGAN,2022,urban,
PAPUA PEGUNUNGAN,2022,rural,
PAPUA PEGUNUNGAN,2022,total,
INDONESIA,2022,urban,0.402
INDONESIA,2022,rural,0.313
INDONESIA,2022,total,0.381
ACEH,2023,urban,0.318
ACEH,2023,rural,0.265
ACEH,2023,total,0.296
SUMATERA UTARA,2023,urban,0.34
SUMATERA UTARA,2023,rural,0.242
SUMATERA UTARA,2023,total,0.309
SUMATERA BARAT,2023,urban,0.305
SUMATERA BARAT,2023,rural,0.232
SUMATERA BARAT,2023,total,0.28
RIAU,2023,urban,0.369
RIAU,2023,rural,0.274
RIAU,2023,total,0.324
JAMBI,2023,urban,0.365
JAMBI,2023,rural,0.32
JAMBI,2023,total,0.343
SUMATERA SELATAN,2023,urban,0.36
SUMATERA SELATAN,2023,rural,0.305
SUMATERA SELATAN,2023,total,0.338
BENGKULU,2023,urban,0.386
BENGKULU,2023,rural,0.283
BENGKULU,2023,total,0.333
LAMPUNG,2023,urban,0.359
LAMPUNG,2023,rural,0.287
LAMPUNG,2023,total,0.324
KEP. BANGKA BELITUNG,2023,urban,0.265
KEP. BANGKA BELITUNG,2023,rural,0.202
KEP. BANGKA BELITUNG,2023,total,0.245
KEP. RIAU,2023,urban,0.339
KEP. RIAU,2023,rural,0.248
KEP. RIAU,2023,total,0.34
DKI JAKARTA,2023,urban,0.431
DKI JAKARTA,2023,rural,
DKI JAKARTA,2023,total,0.431
JAWA BARAT,2023,urban,0.439
JAWA BARAT,2023,rural,0.321
JAWA BARAT,2023,total,0.425
JAWA TENGAH,2023,urban,0.399
JAWA TENGAH,2023,rural,0.318
JAWA TENGAH,2023,total,0.369
DI YOGYAKARTA,2023,urban,0.453
DI YOGYAKARTA,2023,rural,0.362
DI YOGYAKARTA,2023,total,0.449
JAWA TIMUR,2023,urban,0.404
JAWA TIMUR,2023,rural,0.337
JAWA TIMUR,2023,total,0.387
BANTEN,2023,urban,0.372
BANTEN,2023,rural,0.256
BANTEN,2023,total,0.368
BALI,2023,urban,0.367
BALI,2023,rural,0.29
BALI,2023,total,0.362
NUSA TENGGARA BARAT,2023,urban,0.402
NUSA TENGGARA BARAT,2023,rural,0.334
NUSA TENGGARA BARAT,2023,total,0.375
NUSA TENGGARA TIMUR,2023,urban,0.299
NUSA TENGGARA TIMUR,2023,rural,0.307
NUSA TENGGARA TIMUR,2023,total,0.325
KALIMANTAN BARAT,2023,urban,0.348
KALIMANTAN BARAT,2023,rural,0.273
KALIMANTAN BARAT,2023,total,0.321
KALIMANTAN TENGAH,2023,urban,0.335
KALIMANTAN TENGAH,2023,rural,0.298
KALIMANTAN TENGAH,2023,total,0.317
KALIMANTAN SELATAN,2023,urban,0.345
KALIMANTAN SELATAN,2023,rural,0.259
KALIMANTAN SELATAN,2023,total,0.313
KALIMANTAN TIMUR,2023,urban,0.328
KALIMANTAN TIMUR,2023,rural,0.292
KALIMANTAN TIMUR,2023,total,0.322
KALIMANTAN UTARA,2023,urban,0.274
KALIMANTAN UTARA,2023,rural,0.27
KALIMANTAN UTARA,2023,total,0.277
SULAWESI UTARA,2023,urban,0.377
SULAWESI UTARA,2023,rural,0.345
SULAWESI UTARA,2023,total,0.37
SULAWESI TENGAH,2023,urban,0.344
SULAWESI TENGAH,2023,rural,0.265
SULAWESI TENGAH,2023,total,0.304
SULAWESI SELATAN,2023,urban,0.386
SULAWESI SELATAN,2023,rural,0.339
SULAWESI SELATAN,2023,total,0.377
SULAWESI TENGGARA,2023,urban,0.393
SULAWESI TENGGARA,2023,rural,0.338
SULAWESI TENGGARA,2023,total,0.371
GORONTALO,2023,urban,0.403
GORONTALO,2023,rural,0.403
GORONTALO,2023,total,0.417
SULAWESI BARAT,2023,urban,0.452
SULAWESI BARAT,2023,rural,0.308
SULAWESI BARAT,2023,total,0.351
MALUKU,2023,urban,0.288
MALUKU,2023,rural,0.247
MALUKU,2023,total,0.288
MALUKU UTARA,2023,urban,0.326
MALUKU UTARA,2023,rural,0.269
MALUKU UTARA,2023,total,0.3
PAPUA BARAT,2023,urban,0.282
PAPUA BARAT,2023,rural,0.418
PAPUA BARAT,2023,total,0.37
PAPUA BARAT DAYA,2023,urban,
PAPUA BARAT DAYA,2023,rural,
PAPUA BARAT DAYA,2023,total,
PAPUA,2023,urban,0.3
PAPUA,2023,rural,0.403
PAPUA,2023,total,0.386
PAPUA SELATAN,2023,urban,
PAPUA SELATAN,2023,rural,
PAPUA SELATAN,2023,total,
PAPUA TENGAH,2023,urban,
PAPUA TENGAH,2023,rural,
PAPUA TENGAH,2023,total,
PAPUA PEGUNUNGAN,2023,urban,
PAPUA PEGUNUNGAN,2023,rural,
PAPUA PEGUNUNGAN,2023,total,
INDONESIA,2023,urban,0.409
INDONESIA,2023,rural,0.313
INDONESIA,2023,total,0.388
ACEH,2024,urban,0.332
ACEH,2024,rural,0.253
ACEH,2024,total,0.294
SUMATERA UTARA,2024,urban,0.333
SUMATERA UTARA,2024,rural,0.236
SUMATERA UTARA,2024,total,0.306
SUMATERA BARAT,2024,urban,0.313
SUMATERA BARAT,2024,rural,0.226
SUMATERA BARAT,2024,total,0.287
RIAU,2024,urban,0.333
RIAU,2024,rural,0.271
RIAU,2024,total,0.306
JAMBI,2024,urban,0.353
JAMBI,2024,rural,0.279
JAMBI,2024,total,0.315
SUMATERA SELATAN,2024,urban,0.357
SUMATERA SELATAN,2024,rural,0.3
SUMATERA SELATAN,2024,total,0.331
BENGKULU,2024,urban,0.409
BENGKULU,2024,rural,0.278
BENGKULU,2024,total,0.343
LAMPUNG,2024,urban,0.329
LAMPUNG,2024,rural,0.27
LAMPUNG,2024,total,0.301
KEP. BANGKA BELITUNG,2024,urban,0.251
KEP. BANGKA BELITUNG,2024,rural,0.189
KEP. BANGKA BELITUNG,2024,total,0.235
KEP. RIAU,2024,urban,0.36
KEP. RIAU,2024,rural,0.236
KEP. RIAU,2024,total,0.357
DKI JAKARTA,2024,urban,0.431
DKI JAKARTA,2024,rural,
DKI JAKARTA,2024,total,0.431
JAWA BARAT,2024,urban,0.439
JAWA BARAT,2024,rural,0.327
JAWA BARAT,2024,total,0.428
JAWA TENGAH,2024,urban,0.392
JAWA TENGAH,2024,rural,0.317
JAWA TENGAH,2024,total,0.364
DI YOGYAKARTA,2024,urban,0.429
DI YOGYAKARTA,2024,rural,0.355
DI YOGYAKARTA,2024,total,0.428
JAWA TIMUR,2024,urban,0.388
JAWA TIMUR,2024,rural,0.332
JAWA TIMUR,2024,total,0.373
BANTEN,2024,urban,0.361
BANTEN,2024,rural,0.246
BANTEN,2024,total,0.359
BALI,2024,urban,0.352
BALI,2024,rural,0.285
BALI,2024,total,0.348
NUSA TENGGARA BARAT,2024,urban,0.388
NUSA TENGGARA BARAT,2024,rural,0.32
NUSA TENGGARA BARAT,2024,total,0.364
NUSA TENGGARA TIMUR,2024,urban,0.282
NUSA TENGGARA TIMUR,2024,rural,0.306
NUSA TENGGARA TIMUR,2024,total,0.316
KALIMANTAN BARAT,2024,urban,0.341
KALIMANTAN BARAT,2024,rural,0.258
KALIMANTAN BARAT,2024,total,0.314
KALIMANTAN TENGAH,2024,urban,0.322
KALIMANTAN TENGAH,2024,rural,0.282
KALIMANTAN TENGAH,2024,total,0.304
KALIMANTAN SELATAN,2024,urban,0.326
KALIMANTAN SELATAN,2024,rural,0.259
KALIMANTAN SELATAN,2024,total,0.298
KALIMANTAN TIMUR,2024,urban,0.315
KALIMANTAN TIMUR,2024,rural,0.282
KALIMANTAN TIMUR,2024,total,0.31
KALIMANTAN UTARA,2024,urban,0.245
KALIMANTAN UTARA,2024,rural,0.265
KALIMANTAN UTARA,2024,total,0.259
SULAWESI UTARA,2024,urban,0.351
SULAWESI UTARA,2024,rural,0.331
SULAWESI UTARA,2024,total,0.347
SULAWESI TENGAH,2024,urban,0.34
SULAWESI TENGAH,2024,rural,0.271
SULAWESI TENGAH,2024,total,0.309
SULAWESI SELATAN,2024,urban,0.369
SULAWESI SELATAN,2024,rural,0.33
SULAWESI SELATAN,2024,total,0.36
SULAWESI TENGGARA,2024,urban,0.374
SULAWESI TENGGARA,2024,rural,0.337
SULAWESI TENGGARA,2024,total,0.365
GORONTALO,2024,urban,0.4
GORONTALO,2024,rural,0.402
GORONTALO,2024,total,0.413
SULAWESI BARAT,2024,urban,0.404
SULAWESI BARAT,2024,rural,0.296
SULAWESI BARAT,2024,total,0.33
MALUKU,2024,urban,0.284
MALUKU,2024,rural,0.236
MALUKU,2024,total,0.291
MALUKU UTARA,2024,urban,0.328
MALUKU UTARA,2024,rural,0.243
MALUKU UTARA,2024,total,0.296
PAPUA BARAT,2024,urban,0.296
PAPUA BARAT,2024,rural,0.416
PAPUA BARAT,2024,total,0.385
PAPUA BARAT DAYA,2024,urban,0.262
PAPUA BARAT DAYA,2024,rural,0.418
PAPUA BARAT DAYA,2024,total,0.347
PAPUA,2024,urban,0.322
PAPUA,2024,rural,0.505
PAPUA,2024,total,0.405
PAPUA SELATAN,2024,urban,0.351
PAPUA SELATAN,2024,rural,0.429
PAPUA SELATAN,2024,total,0.424
PAPUA TENGAH,2024,urban,0.253
PAPUA TENGAH,2024,rural,0.374
PAPUA TENGAH,2024,total,0.355
PAPUA PEGUNUNGAN,2024,urban,0.244
PAPUA PEGUNUNGAN,2024,rural,0.349
PAPUA PEGUNUNGAN,2024,total,0.346
INDONESIA,2024,urban,0.402
INDONESIA,2024,rural,0.308
INDONESIA,2024,total,0.381
