province,year,population_thousands
ACEH,2020,5274.9
ACEH,2021,5334.9
ACEH,2022,5409.2
ACEH,2023,5482.5
ACEH,2024,5554.8
SUMATERA UTARA,2020,14799.4
SUMATERA UTARA,2021,14970.5
SUMATERA UTARA,2022,15180.5
SUMATERA UTARA,2023,15386.6
SUMATERA UTARA,2024,15588.5
SUMATERA BARAT,2020,5534.5
SUMATERA BARAT,2021,5597.3
SUMATERA BARAT,2022,5677.6
SUMATERA BARAT,2023,5757.2
SUMATERA BARAT,2024,5836.2
RIAU,2020,6394.1
RIAU,2021,6466.8
RIAU,2022,6555.8
RIAU,2023,6642.9
RIAU,2024,6728.1
JAMBI,2020,3548.2
JAMBI,2021,3586.4
JAMBI,2022,3633.2
JAMBI,2023,3679.2
JAMBI,2024,3724.3
SUMATERA SELATAN,2020,8467.4
SUMATERA SELATAN,2021,8548.6
SUMATERA SELATAN,2022,8647.3
SUMATERA SELATAN,2023,8743.5
SUMATERA SELATAN,2024,8837.3
BENGKULU,2020,2010.7
BENGKULU,2021,2032.4
BENGKULU,2022,2059.4
BENGKULU,2023,2086.0
BENGKULU,2024,2112.2
LAMPUNG,2020,9007.8
LAMPUNG,2021,4438.6
LAMPUNG,2022,4496.6
LAMPUNG,2023,9314.0
LAMPUNG,2024,9419.6
KEPULAUAN BANGKA BELITUNG,2020,1455.7
KEPULAUAN BANGKA BELITUNG,2021,1471.8
KEPULAUAN BANGKA BELITUNG,2022,1492.0
KEPULAUAN BANGKA BELITUNG,2023,1511.9
KEPULAUAN BANGKA BELITUNG,2024,1531.5
KEPULAUAN RIAU,2020,2064.6
KEPULAUAN RIAU,2021,2089.9
KEPULAUAN RIAU,2022,2121.5
KEPULAUAN RIAU,2023,2152.6
KEPULAUAN RIAU,2024,2183.3
DKI JAKARTA,2020,10562.1
DKI JAKARTA,2021,10605.4
DKI JAKARTA,2022,10640.0
DKI JAKARTA,2023,10672.1
DKI JAKARTA,2024,10684.9
JAWA BARAT,2020,48274.2
JAWA BARAT,2021,48738.8
JAWA BARAT,2022,49306.8
JAWA BARAT,2023,49860.3
JAWA BARAT,2024,50345.2
JAWA TENGAH,2020,36516.0
JAWA TENGAH,2021,36811.1
JAWA TENGAH,2022,37180.4
JAWA TENGAH,2023,37541.0
JAWA TENGAH,2024,37892.3
DI YOGYAKARTA,2020,3668.7
DI YOGYAKARTA,2021,3687.8
DI YOGYAKARTA,2022,3712.6
DI YOGYAKARTA,2023,3736.5
DI YOGYAKARTA,2024,3759.5
JAWA TIMUR,2020,40665.7
JAWA TIMUR,2021,40921.1
JAWA TIMUR,2022,41230.0
JAWA TIMUR,2023,41527.9
JAWA TIMUR,2024,41814.5
BANTEN,2020,11904.6
BANTEN,2021,12023.0
BANTEN,2022,12167.0
BANTEN,2023,12307.7
BANTEN,2024,12431.4
BALI,2020,4317.4
BALI,2021,4343.4
BALI,2022,4374.3
BALI,2023,4404.3
BALI,2024,4433.3
NUSA TENGGARA BARAT,2020,5320.1
NUSA TENGGARA BARAT,2021,5387.2
NUSA TENGGARA BARAT,2022,5474.0
NUSA TENGGARA BARAT,2023,5560.3
NUSA TENGGARA BARAT,2024,5646.0
NUSA TENGGARA TIMUR,2020,5325.6
NUSA TENGGARA TIMUR,2021,5394.4
NUSA TENGGARA TIMUR,2022,5481.8
NUSA TENGGARA TIMUR,2023,5569.1
NUSA TENGGARA TIMUR,2024,5656.0
KALIMANTAN BARAT,2020,5414.4
KALIMANTAN BARAT,2021,5474.7
KALIMANTAN BARAT,2022,5549.7
KALIMANTAN BARAT,2023,5623.3
KALIMANTAN BARAT,2024,5695.5
KALIMANTAN TENGAH,2020,2670.0
KALIMANTAN TENGAH,2021,2700.1
KALIMANTAN TENGAH,2022,2737.2
KALIMANTAN TENGAH,2023,2773.7
KALIMANTAN TENGAH,2024,2809.7
KALIMANTAN SELATAN,2020,4073.6
KALIMANTAN SELATAN,2021,4116.9
KALIMANTAN SELATAN,2022,4170.2
KALIMANTAN SELATAN,2023,4222.3
KALIMANTAN SELATAN,2024,4273.4
KALIMANTAN TIMUR,2020,3766.0
KALIMANTAN TIMUR,2021,3803.5
KALIMANTAN TIMUR,2022,3856.8
KALIMANTAN TIMUR,2023,3909.7
KALIMANTAN TIMUR,2024,4045.9
KALIMANTAN UTARA,2020,701.8
KALIMANTAN UTARA,2021,710.0
KALIMANTAN UTARA,2022,720.1
KALIMANTAN UTARA,2023,730.0
KALIMANTAN UTARA,2024,739.8
SULAWESI UTARA,2020,2621.9
SULAWESI UTARA,2021,2639.5
SULAWESI UTARA,2022,2660.8
SULAWESI UTARA,2023,2681.5
SULAWESI UTARA,2024,2701.8
SULAWESI TENGAH,2020,2985.7
SULAWESI TENGAH,2021,3015.0
SULAWESI TENGAH,2022,3051.2
SULAWESI TENGAH,2023,3086.8
SULAWESI TENGAH,2024,3121.8
SULAWESI SELATAN,2020,9073.5
SULAWESI SELATAN,2021,9156.9
SULAWESI SELATAN,2022,9260.1
SULAWESI SELATAN,2023,9362.3
SULAWESI SELATAN,2024,9463.4
SULAWESI TENGGARA,2020,2624.9
SULAWESI TENGGARA,2021,2659.9
SULAWESI TENGGARA,2022,2704.6
SULAWESI TENGGARA,2023,2749.0
SULAWESI TENGGARA,2024,2793.1
GORONTALO,2020,1171.7
GORONTALO,2021,1183.5
GORONTALO,2022,1198.4
GORONTALO,2023,1213.2
GORONTALO,2024,1227.8
SULAWESI BARAT,2020,1419.2
SULAWESI BARAT,2021,1436.7
SULAWESI BARAT,2022,1458.9
SULAWESI BARAT,2023,1481.1
SULAWESI BARAT,2024,1503.2
MALUKU,2020,1848.9
MALUKU,2021,1869.5
MALUKU,2022,1895.1
MALUKU,2023,1920.5
MALUKU,2024,1945.6
MALUKU UTARA,2020,1282.9
MALUKU UTARA,2021,1299.6
MALUKU UTARA,2022,1318.5
MALUKU UTARA,2023,1337.1
MALUKU UTARA,2024,1355.6
PAPUA BARAT,2020,1134.1
PAPUA BARAT,2021,1149.4
PAPUA BARAT,2022,1168.4
PAPUA BARAT,2023,1187.33
PAPUA BARAT,2024,1205.83
PAPUA BARAT DAYA,2020,
PAPUA BARAT DAYA,2021,
PAPUA BARAT DAYA,2022,
PAPUA BARAT DAYA,2023,
PAPUA BARAT DAYA,2024,
PAPUA,2020,4303.7
PAPUA,2021,4356.8
PAPUA,2022,4420.7
PAPUA,2023,4482.74
PAPUA,2024,4542.64
PAPUA SELATAN,2020,
PAPUA SELATAN,2021,
PAPUA SELATAN,2022,
PAPUA SELATAN,2023,
PAPUA SELATAN,2024,
PAPUA TENGAH,2020,
PAPUA TENGAH,2021,
PAPUA TENGAH,2022,
PAPUA TENGAH,2023,
PAPUA TENGAH,2024,
PAPUA PEGUNUNGAN,2020,
PAPUA PEGUNUNGAN,2021,
PAPUA PEGUNUNGAN,2022,
PAPUA PEGUNUNGAN,2023,
PAPUA PEGUNUNGAN,2024,
INDONESIA,2020,270203.9
INDONESIA,2021,272679.2
INDONESIA,2022,275719.9
INDONESIA,2023,278696.2
INDONESIA,2024,281603.8
"SUMBER: BADAN PUSAT STATISTIK, SENSUS PENDUDUK (SP) 2020 (SEPTEMBER)",2020,
"SUMBER: BADAN PUSAT STATISTIK, SENSUS PENDUDUK (SP) 2020 (SEPTEMBER)",2021,
"SUMBER: BADAN PUSAT STATISTIK, SENSUS PENDUDUK (SP) 2020 (SEPTEMBER)",2022,
"SUMBER: BADAN PUSAT STATISTIK, SENSUS PENDUDUK (SP) 2020 (SEPTEMBER)",2023,
"SUMBER: BADAN PUSAT STATISTIK, SENSUS PENDUDUK (SP) 2020 (SEPTEMBER)",2024,
"BADAN PUSAT STATISTIK, PROYEKSI PENDUDUK INDONESIA 2020-2050 HASIL SENSUS PENDUDUK 2020 (PERTENGAHAN TAHUN/ JUNI)",2020,
"BADAN PUSAT STATISTIK, PROYEKSI PENDUDUK INDONESIA 2020-2050 HASIL SENSUS PENDUDUK 2020 (PERTENGAHAN TAHUN/ JUNI)",2021,
"BADAN PUSAT STATISTIK, PROYEKSI PENDUDUK INDONESIA 2020-2050 HASIL SENSUS PENDUDUK 2020 (PERTENGAHAN TAHUN/ JUNI)",2022,
"BADAN PUSAT STATISTIK, PROYEKSI PENDUDUK INDONESIA 2020-2050 HASIL SENSUS PENDUDUK 2020 (PERTENGAHAN TAHUN/ JUNI)",2023,
"BADAN PUSAT STATISTIK, PROYEKSI PENDUDUK INDONESIA 2020-2050 HASIL SENSUS PENDUDUK 2020 (PERTENGAHAN TAHUN/ JUNI)",2024,
